Nome;Idade (dias);PRs;Releases;Última Atualização (dias);Linguagem;Fechamento de Issues (%)
reactjs-interview-questions;2459;157;0;0;JavaScript;94.39%
vue2-elm;2983;21;0;0;Vue;81.53%
ChatGLM-6B;712;49;0;0;Python;57.39%
what-happens-when;4125;108;0;0;N/A;18.28%
GPT-SoVITS;405;279;1;0;Python;53.33%
python-patterns;4643;265;0;0;Python;87.64%
metabase;3673;28145;619;0;Clojure;82.29%
pyenv;4558;936;120;0;Roff;96.41%
uv;509;5768;157;0;Rust;77.03%
odoo;3938;6179;0;0;Python;83.22%
dubbo;4631;5584;107;0;Java;88.88%
styled-components;3112;953;172;0;TypeScript;90.25%
spark;4015;7;0;0;Scala;N/A
swiper;4728;592;81;0;JavaScript;97.01%
nw.js;4798;575;0;0;JavaScript;87.36%
uni-app;2417;322;0;0;JavaScript;77.54%
LLMs-from-scratch;580;279;0;0;Jupyter Notebook;100.00%
diagrams;1847;304;43;0;Python;41.04%
ColossalAI;1213;3620;48;0;Python;75.87%
vuetify;3085;4068;577;0;TypeScript;96.37%
CPlusPlusThings;2050;72;0;0;C++;96.46%
kong;3749;6381;144;0;Lua;98.77%
maybe;417;848;25;0;Ruby;93.93%
stablediffusion;821;18;0;0;Python;23.90%
ailearning;2919;478;2;0;Python;98.44%
sentry;5289;62684;145;0;Python;85.59%
hexo;4535;932;114;0;TypeScript;98.01%
autogen;554;2067;75;0;Python;79.33%
fastlane;3735;6212;548;0;Ruby;95.32%
black;2537;1536;46;0;Python;87.15%
nvm-windows;3808;107;23;0;Go;91.59%
nanoGPT;787;45;0;0;Python;32.41%
cobra;4189;609;24;0;Go;82.29%
iina;2987;776;44;0;Swift;57.13%
fanqiang;3692;3;3;0;Kotlin;58.79%
termux-app;3410;160;91;0;Java;87.05%
llama_index;843;6081;360;0;Python;88.81%
ClickHouse;3187;44607;626;0;C++;83.31%
ragflow;438;2253;21;0;TypeScript;57.96%
cheat.sh;2847;124;0;0;Python;52.19%
tldraw;1385;2833;59;0;TypeScript;80.82%
vllm;744;4672;50;0;Python;80.64%
airflow;3603;24571;93;0;Python;89.67%
materialize;3816;449;41;0;JavaScript;88.05%
Deep-Learning-Papers-Reading-Roadmap;3053;28;0;0;Python;9.09%
tabler;2578;592;47;0;HTML;95.95%
php-src;5000;3717;7;0;C;79.76%
bert;2311;32;0;0;Python;30.94%
v2rayNG;2110;406;227;0;Kotlin;99.65%
chinese-independent-developer;2711;267;0;0;N/A;99.38%
esbuild;3175;235;292;0;Go;86.66%
chakra-ui;2016;2654;1000;0;TypeScript;99.85%
video.js;5398;1793;328;0;JavaScript;89.87%
markitdown;101;78;3;0;HTML;21.64%
wrk;4722;0;0;0;C;64.69%
anything-llm;629;855;11;0;JavaScript;89.79%
cli;1969;2385;156;0;Go;84.74%
50projects50days;1559;43;0;0;CSS;N/A
Made-With-ML;2301;147;0;0;Jupyter Notebook;78.08%
bevy;1861;4932;35;0;Rust;66.86%
mitmproxy;5485;2527;72;0;Python;90.71%
tidb;3457;31477;205;0;Go;81.37%
English-level-up-tips;2825;26;0;0;HTML;72.73%
whisper.cpp;881;623;24;0;C++;46.70%
TTS;1739;467;98;0;Python;99.13%
FastChat;706;848;14;0;Python;57.06%
styleguide;3566;176;0;0;HTML;68.51%
zju-icicles;3161;222;0;0;HTML;87.18%
typst;1977;1540;21;0;Rust;75.11%
MPAndroidChart;3956;190;44;0;Java;58.38%
impress.js;4804;121;15;0;JavaScript;88.57%
streamlit;2009;4622;92;0;Python;80.34%
coolify;1488;1430;589;0;PHP;82.85%
EasySpider;1680;40;10;0;JavaScript;73.43%
phaser;4334;1704;164;0;JavaScript;98.41%
gorm;4138;730;2;0;Go;93.06%
expo;3113;15784;0;0;TypeScript;96.77%
zig;3488;8517;18;0;Zig;74.51%
awesome-compose;1836;149;0;0;HTML;32.52%
vim;3475;438;0;0;Vim Script;82.90%
WeChatMsg;773;62;33;0;Python;86.38%
jellyfin;2267;4468;85;0;C#;93.85%
quivr;651;1798;354;0;Python;98.10%
free;1721;0;0;0;N/A;27.27%
TrafficMonitor;2764;52;26;0;C++;37.88%
Open-Assistant;802;1616;127;0;Python;86.24%
freecodecamp.cn;3067;55;0;0;CSS;76.07%
memos;1172;1613;75;0;Go;99.09%
preact;3452;1803;221;0;JavaScript;96.18%
leveldb;3831;64;21;0;C++;69.39%
tutorials;4317;12985;0;0;Java;96.15%
bark;687;19;0;0;Jupyter Notebook;51.43%
jsoncrack.com;1119;83;20;0;TypeScript;87.30%
shellcheck;4480;286;29;0;Haskell;60.94%
ultralytics;895;2833;152;0;Python;92.68%
DeepSpeed;1857;2565;87;0;Python;66.35%
curl;5454;190;87;0;C;99.67%
python-cheatsheet;2585;14;0;0;Python;92.42%
ant-design-pro;2738;972;26;0;TypeScript;98.08%
awesome-remote-job;3704;582;0;0;N/A;97.26%
pure-bash-bible;2446;28;0;0;Shell;43.42%
interview_internal_reference;2084;35;0;0;Python;39.13%
aria2;5201;252;24;0;C++;43.70%
freqtrade;2837;5543;94;0;Python;99.22%
penpot;3342;3586;46;0;Clojure;76.66%
tmux;3551;1;37;0;C;98.66%
istio;3017;27265;373;0;Go;97.67%
photoprism;2583;704;71;0;Go;78.93%
GFPGAN;1436;14;8;0;Python;26.76%
novu;1276;5084;40;0;TypeScript;85.46%
gradio;2257;4290;1000;0;Python;91.44%
JavaFamily;1929;2;0;0;N/A;95.24%
Summer2025-Internships;1735;1668;0;0;N/A;99.89%
OpenBB;1525;4021;42;0;Python;98.37%
Files;2241;5122;123;0;C#;95.43%
AI-For-Beginners;1452;167;0;0;Jupyter Notebook;81.45%
manifesto;559;764;0;0;HTML;50.00%
aspnetcore;4001;16907;243;0;C#;90.50%
GitHubDaily;2246;3;0;0;N/A;35.12%
trpc;1680;3537;200;0;TypeScript;90.99%
taro;2512;3270;186;0;TypeScript;88.06%
v;2206;11644;246;0;V;89.48%
deeplearningbook-chinese;2999;16;7;0;TeX;68.32%
ruff;928;8959;348;0;Rust;79.91%
tesseract.js;3531;190;55;0;JavaScript;95.24%
wtfpython;2735;109;2;0;Python;65.74%
helix;1727;3894;28;0;Rust;85.54%
arthas;2369;529;58;0;Java;82.46%
pandoc;5453;1638;143;0;Haskell;86.77%
wtfjs;2780;124;25;0;JavaScript;83.48%
og-aws;3146;498;0;0;Shell;38.33%
DragGAN;646;18;0;0;Python;24.21%
lerna;3368;978;240;0;TypeScript;85.46%
MockingBird;1295;81;1;0;Python;46.39%
devdocs;4139;841;0;0;Ruby;84.89%
appsmith;1698;13277;267;0;TypeScript;81.70%
insomnia;3227;3044;495;0;JavaScript;82.47%
zod;1812;533;92;0;TypeScript;76.61%
fd;2845;611;40;0;Rust;87.80%
ray;3042;24573;100;0;Python;80.83%
daisyui;1546;351;53;0;Svelte;92.84%
shadowsocks-android;4451;256;185;0;Kotlin;98.32%
googletest;3497;810;10;0;C++;86.52%
hello-algorithm;1730;26;0;1;Java;72.73%
interview;2570;35;0;0;C++;62.50%
gym;3223;999;19;0;Python;93.91%
spotube;1469;231;37;0;Dart;62.77%
Flowise;694;1061;62;0;TypeScript;73.56%
sheetjs;4464;106;0;0;N/A;95.05%
fullPage.js;4173;315;101;0;JavaScript;96.72%
koa;4235;501;2;0;JavaScript;98.13%
date-fns;3792;1068;122;0;TypeScript;69.38%
RSSHub;2518;10129;0;0;TypeScript;94.23%
